Review,Liked
Wow... Loved this place.,Yes
Crust is not good.,No
Not tasty and the texture was just nasty.,No
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,Yes
The selection on the menu was great and so were the prices.,Yes
Now I am getting angry and I want my damn pho.,No
Honeslty it didn't taste THAT fresh.,No
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,No
The fries were great too.,Yes
A great touch.,Yes
Service was very prompt.,Yes
Would not go back.,No
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,No
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",Yes
I was disgusted because I was pretty sure that was human hair.,No
I was shocked because no signs indicate cash only.,No
Highly recommended.,Yes
Waitress was a little slow in service.,No
"This place is not worth your time, let alone Vegas.",No
did not like at all.,No
The Burrittos Blah!,No
"The food, amazing.",Yes
Service is also cute.,Yes
I could care less... The interior is just beautiful.,Yes
So they performed.,Yes
That's right....the red velvet cake.....ohhh this stuff is so good.,Yes
They never brought a salad we asked for.,No
"This hole in the wall has great Mexican street tacos, and friendly staff.",Yes
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",No
The worst was the salmon sashimi.,No
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",Yes
This was like the final blow!,No
I found this place by accident and I could not be happier.,Yes
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",No
"Overall, I like this place a lot.",Yes
The only redeeming quality of the restaurant was that it was very inexpensive.,Yes
Ample portions and good prices.,Yes
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",No
My first visit to Hiro was a delight!,Yes
Service sucks.,No
The shrimp tender and moist.,Yes
There is not a deal good enough that would drag me into that establishment again.,No
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,No
"On a positive note, our server was very attentive and provided great service.",Yes
"Frozen pucks of disgust, with some of the worst people behind the register.",No
The only thing I did like was the prime rib and dessert section.,Yes
It's too bad the food is so damn generic.,No
"The burger is good beef, cooked just right.",Yes
If you want a sandwich just go to any Firehouse!!!!!,Yes
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",Yes
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,Yes
He came running after us when he realized my husband had left his sunglasses on the table.,Yes
Their chow mein is so good!,Yes
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",No
The portion was huge!,Yes
"Loved it...friendly servers, great food, wonderful and imaginative menu.",Yes
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,No
Not much seafood and like 5 strings of pasta at the bottom.,No
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",Yes
"The ripped banana was not only ripped, but petrified and tasteless.",No
At least think to refill my water before I struggle to wave you over for 10 minutes.,No
This place receives stars for their APPETIZERS!!!,Yes
The cocktails are all handmade and delicious.,Yes
We'd definitely go back here again.,Yes
We are so glad we found this place.,Yes
"Great food and service, huge portions and they give a military discount.",Yes
Always a great time at Dos Gringos!,Yes
Update.....went back for a second time and it was still just as amazing,Yes
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,No
A great way to finish a great.,Yes
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",Yes
"Really, Really good rice, all the time.",Yes
The service was meh.,No
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",No
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",No
The scallop dish is quite appalling for value as well.,No
2 times - Very Bad Customer Service !,No
The sweet potato fries were very good and seasoned well.,Yes
Today is the second time I've been to their lunch buffet and it was pretty good.,Yes
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,No
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,No
walked in and the place smelled like an old grease trap and only 2 others there eating.,No
The turkey and roast beef were bland.,No
This place has it!,Yes
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,No
I love the Pho and the spring rolls oh so yummy you have to try.,Yes
The poor batter to meat ratio made the chicken tenders very unsatisfying.,No
All I have to say is the food was amazing!!!,Yes
Omelets are to die for!,Yes
Everything was fresh and delicious!,Yes
"In summary, this was a largely disappointing dining experience.",No
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",Yes
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",No
Best breakfast buffet!!!,Yes
say bye bye to your tip lady!,No
We'll never go again.,No
Will be back again!,Yes
Food arrived quickly!,Yes
It was not good.,No
"On the up side, their cafe serves really good food.",Yes
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",Yes
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",Yes
"Best Buffet in town, for the price you cannot beat it.",Yes
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",Yes
This is one of the better buffets that I have been to.,Yes
So we went to Tigerlilly and had a fantastic afternoon!,Yes
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",Yes
The ambience is wonderful and there is music playing.,Yes
Will go back next trip out.,Yes
Sooooo good!!,Yes
"REAL sushi lovers, let's be honest - Yama is not that good.",No
"At least 40 min passed in between us ordering and the food arriving, and it wasn't that busy.",No
This is a really fantastic Thai restaurant which is definitely worth a visit.,Yes
"Nice, spicy and tender.",Yes
Good prices.,Yes
Check it out.,Yes
It was pretty gross!,No
I've had better atmosphere.,No
Kind of hard to mess up a steak but they did.,No
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",No
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,No
"Worst service to boot, but that is the least of their worries.",No
Service was fine and the waitress was friendly.,Yes
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",Yes
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",Yes
"Host staff were, for lack of a better word, BITCHES!",No
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,No
"Phenomenal food, service and ambiance.",Yes
I wouldn't return.,No
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",Yes
This place is way too overpriced for mediocre food.,No
Penne vodka excellent!,Yes
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",Yes
The management is rude.,No
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",Yes
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",Yes
I had a seriously solid breakfast here.,Yes
This is one of the best bars with food in Vegas.,Yes
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",No
My drink was never empty and he made some really great menu suggestions.,Yes
Don't do it!!!!,No
The waiter wasn't helpful or friendly and rarely checked on us.,No
My husband and I ate lunch here and were very disappointed with the food and service.,No
And the red curry had so much bamboo shoots and wasn't very tasty to me.,No
